1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
																																																																						
																																																										Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall						
																																																								Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Cropland	Cropland	Cropland	Cropland	Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall				
																																																							Biodome, a Biodome Wall	Biodome, a Biodome Wall	Field	Cropland	Apartment Building	Hospital	Quarantine Center	Quarantine Center	Quarantine Center	Cropland	Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall			
																																																							Biodome, a Biodome Wall	Field	Apartment Building	Apartment Building	Apartment Building	Office Building	Courthouse	Quarantine Center	Quarantine Center	(65, 6) Dome Security Precinct 1, a Police Station	(66, 6)Bulwer Property Management, an Office Building	Cropland	Biodome, a Biodome Wall			
																																																						Biodome, a Biodome Wall	Biodome, a Biodome Wall	Grassland	Apartment Building	Apartment Building	Apartment Building	The Bywater, a Hotel	Office Building	Office Building	Office Building	(65, 7) Wright Park, a Park	(66, 7) Lytton Ltd, an Office Building	Grassland	Biodome, a Biodome Wall	Biodome, a Biodome Wall		
																																																						Biodome, a Biodome Wall	Grassland	Sporting Goods Store	Empty Lot	Power Plant	a Park	Founder's Lake, a Lake	Founder's Lake, a Lake	Founder's Lake, a Lake	a Bridge	(65, 8) The Colonial Warehouse, an Office Building	(66, 8) Civil Service Vehicle Pool, a Parking Garage	Pond	Forest	Biodome, a Biodome Wall		
																																																						Biodome, a Biodome Wall	Cropland	Apartment Building	Apartment Building	Apartment Building	Beach	Founder's Lake, a Lake	Founder's Lake, a Lake	Welcome Center, a Welcome Center	(64,9) Founder's Lake, a Lake	(65, 9) Heritage Hall, a Mansion	(66, 9 ) Heritage Park, a Park	(67, 9) Colonial Assembly, a Parliament	Forest	Biodome, a Biodome Wall		
																																																						Biodome, a Biodome Wall	Cropland	Apartment Building	Apartment Building	a House	(60, 10) a House	RogerPillCo Pharmacy, a Pharmacy	Port Hope Transporter, a Transporter	(63,10) Founder's Lake, a Lake	(64,10) Founder's Lake, a Lake	(65, 10) Heritage Park, a Park	(66, 10) Colonial Assembly, a Parliament	(67, 10) Colonial Assembly, a Parliament	Forest	Biodome, a Biodome Wall		
																																			Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall									Biodome, a Biodome Wall	Cropland	Restaurant	Apartment Building	(59, 11) a House	Club Jormungandr, a Bar	The Quickway, a Bridge	Prometheus Gravitics, a Factory	(63,11) Founder's Lake, a Lake	(64,11) Founder's Lake, a Lake	(65, 11) Colonial Guest House, a Mansion	(66, 11) Heritage Park, a Park	(67, 11) Colonial Assembly, a Parliament	Forest	Biodome, a Biodome Wall		
																																Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(37,12) Choral Experimental Forest, a Forest	(38, 12) Choral Experimental Forest, a Forest	(39, 12) Choral Experimental Forest, a Forest	(40, 12) Choral Experimental Forest, a Forest	(41, 12) Choral Experimental Forest, a Forest	(42, 12) Choral Experimental Forest, a Forest	(43, 12) Choral Experimental Forest, a Forest	(44, 12) Choral Experimental Forest, a Forest	(45, 12) Choral Experimental Forest, a Forest	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall						Biodome, a Biodome Wall	Cropland	Fire Station	a House	Gas Station	The Quickway, a Bridge	Captain Clucky's, a Restaurant	Stellar Coffee, a Coffee Shop	(63,12) Founder's Lake, a Lake	{65, 12) Landing Park East, a Beach	(65, 12) Memories of Earth, a Museum	(66,12) Library of the Assembly, a Library	(67,12), Pond	Forest	Biodome, a Biodome Wall		
																														Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(34,13) Choral Forest, a Forest	(35,13) Choral Forest, a Forest	(36,13) Choral Forest, a Forest	(37,13) To The Dome, a Bar	(38, 13) Spin Street, a Mansion	(39, 13) Hermit's Retreat, a Chateau	(40, 13) Choral Experimental Forest, a Forest	(41, 13) Choral Experimental Forest, a Forest	(42, 13) Choral Experimental Forest, a Forest	(43, 13) Moller Corner, a Mansion	(44, 13) Crescent Street, a Chateau	(45, 13) Buckley Boulevard, a Mansion	Choral Forest, a Forest	Choral Forest, a Forest	Choral Forest, a Forest	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall				Biodome, a Biodome Wall	Biodome, a Biodome Wall	Grassland	Corner Store	The Quickway, a Bridge	Mall	Supermarket	Central Bureau of Finance, a Bank	Hardware Store	Fitness Center	(65, 13) Pine Street, a House	(66, 13) Autumn Estate, a Mansion	Apple Orchard	Biodome, a Biodome Wall	Biodome, a Biodome Wall		
																												Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(32,14) Choral Forest, a Forest	(33,14) Choral Forest, a Forest	(34,14) Mansion Alley, a Mansion	(35,14) Harris Gardens a Chateau PORTAL to ???	(36,14) Orange Street, a Mansion	(37,14) Couture Street, a Mansion	(38, 14) Asmara Loop, a Chateau	(39, 14) Gray Lock Lane, a Mansion	(40, 14) Choral Experimental Forest, a Forest	(41, 14) Choral Experimental Forest Research Station, a Research Station	(42, 14) Choral Experimental Forest, a Forest	(43, 14) Brother Peter Church, a Church	(44, 14) Powers Drive, a House	(45, 14) Walker's Way, a House	(46, 14) Dome Security Outpost, a Police Station	(47, 14) Shannon Plaza, a Chateau	(48, 14) Argand Bend, a Mansion	Choral Forest, a Forest	Choral Forest, a Forest	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Cropland	Grassland	The Quickway, a Bridge	Parking Garage	Mall	a House	Cherry Street, a House	Cypress Street, a House	Hemlock Street, a House	Grace Community Church, a Church	Forest	Cropland	Biodome, a Biodome Wall			
																											Biodome, a Biodome Wall	Biodome, a Biodome Wall	(30,15) Cropland, a Cropland	(31,15) Choral Forest, a Forest	(32,15) Luna Lane, a Mansion	(33,15) Pollen Avenue, a House	(34,15) Good Goods, a Corner Store	(35,15) The Purple Pill, a Pharmacy	(36,15) Pizza Cats Pizza, a Restaurant	(37,15) Wilson's Block, a Mansion	(38, 15) Swanton Path, a Mansion	(39, 15) Canopy Cove, a Chateau	(40, 15) Choral Experimental Forest, a Forest	(41, 15) Choral Experimental Forest, a Forest	(42, 15) Choral Experimental Forest, a Forest	(43, 15) Grouse General Care, a Hospital	(44, 15) Spider Way, a Mansion	(45, 15) Soul Avenue, a House	(46, 15) Chateau Campbell, a Chateau	(47, 15) Tinnitus Trail, a House	(48, 15) Driver Drive, a House	(49, 15) Clerk Square, a Chateau	(50, 15) Retschury Road, a Mansion	Choral Forest, a Forest	Choral Forest, a Forest	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Forest	Grassland	The Quickway, a Bridge	Grassland	Grassland	Mall	Barn	Poplar Street, a House	Founders Secondary School, a School	Founders Primary School, a School	Cropland	Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall			
